Filename,Category
case12_sub106.edf,Fear and Uncertainity
case03_sub102.edf,Abstract and Thought based
case20_sub111.edf,Abstract and Thought based
case25_sub117.edf,Abstract and Thought based
case32_sub122.edf,Abstract and Thought based
case26_sub118.edf,Adventure and Movement
case10_sub106.edf,Miscellaneous & Unclear
case04_sub103.edf,Abstract and Thought based
case29_sub121.edf,Abstract and Thought based
case30_sub121.edf,People and Social Interaction
case22_sub113.edf,Abstract and Thought based
case18_sub110.edf,People and Social Interaction
case09_sub106.edf,Fear and Uncertainity
case01_sub101.edf,Miscellaneous & Unclear
case16_sub108.edf,Miscellaneous & Unclear
case21_sub111.edf,Abstract and Thought based
case02_sub102.edf,Abstract and Thought based
case07_sub106.edf,Abstract and Thought based
case15_sub108.edf,Miscellaneous & Unclear
case33_sub122.edf,Abstract and Thought based
case27_sub119.edf,People and Social Interaction
case24_sub116.edf,People and Social Interaction
case13_sub106.edf,Abstract and Thought based
case31_sub121.edf,Abstract and Thought based
case28_sub119.edf,Abstract and Thought based
case08_sub106.edf,Miscellaneous & Unclear
case14_sub107.edf,People and Social Interaction
case17_sub109.edf,People and Social Interaction
case05_sub104.edf,Abstract and Thought based
case19_sub111.edf,People and Social Interaction
case11_sub106.edf,People and Social Interaction
case23_sub114.edf,Miscellaneous & Unclear
s_00_c_00morningnap_singlepart.edf,People and Social Interaction
s_01_c_01morningnap_singlepart.edf,Abstract and Thought based
s_04_c_05morningnap_singlepart.edf,Miscellaneous & Unclear
s_04_c_04morningnap_singlepart.edf,People and Social Interaction
s_03_c_03morningnap_singlepart.edf,Abstract and Thought based
s_02_c_02morningnap_part1.edf,People and Social Interaction
s_02_c_02morningnap_part2.edf,People and Social Interaction
DL048_night03.edf,Adventure and Movement
DL048_night07.edf,People and Social Interaction
DL048_night12.edf,People and Social Interaction
DL048_night09.edf,People and Social Interaction
DL070_night07.edf,People and Social Interaction
DL070_night12.edf,People and Social Interaction
DL070_night04.edf,People and Social Interaction
DL070_night05.edf,People and Social Interaction
DL070_night11.edf,Abstract and Thought based
DL070_night15.edf,Miscellaneous & Unclear
DL070_night02.edf,People and Social Interaction
DL070_night03.edf,Fear and Uncertainity
DL070_night08.edf,People and Social Interaction
DL070_night09.edf,People and Social Interaction
DL041_night14.edf,People and Social Interaction
DL041_night10.edf,Fear and Uncertainity
DL041_night13.edf,People and Social Interaction
DL024_night14.edf,People and Social Interaction
